Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17
ARI,WAS,LAR,CHI,SEA,SFO,MIN,DEN,SFO,BYE,KAN,OAK,LAC,GNB,DET,ATL,LAR,SEA
ATL,PHI,CAR,NOR,CIN,PIT,TAM,NYG,BYE,WAS,CLE,DAL,NOR,BAL,GNB,ARI,CAR,TAM
BAL,BUF,CIN,DEN,PIT,CLE,TEN,NOR,CAR,PIT,BYE,CIN,OAK,ATL,KAN,TAM,LAC,CLE
BUF,BAL,LAC,MIN,GNB,TEN,HOU,IND,NWE,CHI,NYJ,BYE,JAX,MIA,NYJ,DET,NWE,MIA
CAR,DAL,ATL,CIN,BYE,NYG,WAS,PHI,BAL,TAM,PIT,DET,SEA,TAM,CLE,NOR,ATL,NOR
CHI,GNB,SEA,ARI,TAM,BYE,MIA,NWE,NYJ,BUF,DET,MIN,DET,NYG,LAR,GNB,SFO,MIN
CIN,IND,BAL,CAR,ATL,MIA,PIT,KAN,TAM,BYE,NOR,BAL,CLE,DEN,LAC,OAK,CLE,PIT
CLE,PIT,NOR,NYJ,OAK,BAL,LAC,TAM,PIT,KAN,ATL,BYE,CIN,HOU,CAR,DEN,CIN,BAL
DAL,CAR,NYG,SEA,DET,HOU,JAX,WAS,BYE,TEN,PHI,ATL,WAS,NOR,PHI,IND,TAM,NYG
DEN,SEA,OAK,BAL,KAN,NYJ,LAR,ARI,KAN,HOU,BYE,LAC,PIT,CIN,SFO,CLE,OAK,LAC
DET,NYJ,SFO,NWE,DAL,GNB,BYE,MIA,SEA,MIN,CHI,CAR,CHI,LAR,ARI,BUF,MIN,GNB
GNB,CHI,MIN,WAS,BUF,DET,SFO,BYE,LAR,NWE,MIA,SEA,MIN,ARI,ATL,CHI,NYJ,DET
HOU,NWE,TEN,NYG,IND,DAL,BUF,JAX,MIA,DEN,BYE,WAS,TEN,CLE,IND,NYJ,PHI,JAX
IND,CIN,WAS,PHI,HOU,NWE,NYJ,BUF,OAK,BYE,JAX,TEN,MIA,JAX,HOU,DAL,NYG,TEN
JAX,NYG,NWE,TEN,NYJ,KAN,DAL,HOU,PHI,BYE,IND,PIT,BUF,IND,TEN,WAS,MIA,HOU
KAN,LAC,PIT,SFO,DEN,JAX,NWE,CIN,DEN,CLE,ARI,LAR,BYE,OAK,BAL,LAC,SEA,OAK
LAC,KAN,BUF,LAR,SFO,OAK,CLE,TEN,BYE,SEA,OAK,DEN,ARI,PIT,CIN,KAN,BAL,DEN
LAR,OAK,ARI,LAC,MIN,SEA,DEN,SFO,GNB,NOR,SEA,KAN,BYE,DET,CHI,PHI,ARI,SFO
OAK,LAR,DEN,MIA,CLE,LAC,SEA,BYE,IND,SFO,LAC,ARI,BAL,KAN,PIT,CIN,DEN,KAN
MIA,TEN,NYJ,OAK,NWE,CIN,CHI,DET,HOU,NYJ,GNB,BYE,IND,BUF,NWE,MIN,JAX,BUF
MIN,SFO,GNB,BUF,LAR,PHI,ARI,NYJ,NOR,DET,BYE,CHI,GNB,NWE,SEA,MIA,DET,CHI
NWE,HOU,JAX,DET,MIA,IND,KAN,CHI,BUF,GNB,TEN,BYE,NYJ,MIN,MIA,PIT,BUF,NYJ
NOR,TAM,CLE,ATL,NYG,WAS,BYE,BAL,MIN,LAR,CIN,PHI,ATL,DAL,TAM,CAR,PIT,CAR
NYG,JAX,DAL,HOU,NOR,CAR,PHI,ATL,WAS,BYE,SFO,TAM,PHI,CHI,WAS,TEN,IND,DAL
NYJ,DET,MIA,CLE,JAX,DEN,IND,MIN,CHI,MIA,BUF,BYE,NWE,TEN,BUF,HOU,GNB,NWE
PHI,ATL,TAM,IND,TEN,MIN,NYG,CAR,JAX,BYE,DAL,NOR,NYG,WAS,DAL,LAR,HOU,WAS
PIT,CLE,KAN,TAM,BAL,ATL,CIN,BYE,CLE,BAL,CAR,JAX,DEN,LAC,OAK,NWE,NOR,CIN
SEA,DEN,CHI,DAL,ARI,LAR,OAK,BYE,DET,LAC,LAR,GNB,CAR,SFO,MIN,SFO,KAN,ARI
SFO,MIN,DET,KAN,LAC,ARI,GNB,LAR,ARI,OAK,NYG,BYE,TAM,SEA,DEN,SEA,CHI,LAR
TAM,NOR,PHI,PIT,CHI,BYE,ATL,CLE,CIN,CAR,WAS,NYG,SFO,CAR,NOR,BAL,DAL,ATL
TEN,MIA,HOU,JAX,PHI,BUF,BAL,LAC,BYE,DAL,NWE,IND,HOU,NYJ,JAX,NYG,WAS,IND
WAS,ARI,IND,GNB,BYE,NOR,CAR,DAL,NYG,ATL,TAM,HOU,DAL,PHI,NYG,JAX,TEN,PHI